angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.05,,[213  78 138 138],,0.0,,0.04,,0.06,,0.56,,0.29,,0.0,
0.02,,[215  78 136 136],,0.0,,0.0,,0.46,,0.42,,0.09,,0.0,
0.06,,[215  76 138 138],,0.0,,0.04,,0.69,,0.03,,0.16,,0.01,
0.11,,[217  77 136 136],,0.0,,0.03,,0.76,,0.0,,0.05,,0.05,
0.0,,[218  79 131 131],,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.01,,[226  86 125 125],,0.0,,0.01,,0.97,,0.0,,0.01,,0.0,
0.0,,[224  85 129 129],,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.01,,[224  85 129 129],,0.0,,0.0,,0.97,,0.0,,0.0,,0.01,
0.01,,[223  85 129 129],,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.23,,[223  82 130 130],,0.0,,0.04,,0.54,,0.01,,0.11,,0.07,
0.12,,[221  82 133 133],,0.0,,0.1,,0.34,,0.15,,0.23,,0.07,
0.13,,[221  84 131 131],,0.0,,0.09,,0.51,,0.11,,0.13,,0.03,
0.07,,[219  83 132 132],,0.0,,0.18,,0.12,,0.15,,0.45,,0.03,
0.03,,[219  82 136 136],,0.0,,0.06,,0.05,,0.4,,0.45,,0.01,
0.06,,[219  82 134 134],,0.0,,0.22,,0.05,,0.16,,0.48,,0.03,
0.15,,[218  81 137 137],,0.0,,0.19,,0.04,,0.18,,0.38,,0.05,
0.32,,[218  79 135 135],,0.0,,0.04,,0.36,,0.01,,0.07,,0.2,
0.36,,[217  76 136 136],,0.0,,0.07,,0.37,,0.0,,0.02,,0.18,
0.14,,[218  79 135 135],,0.0,,0.31,,0.04,,0.05,,0.25,,0.21,
0.11,,[221  82 133 133],,0.0,,0.05,,0.01,,0.18,,0.64,,0.01,
0.1,,[217  83 133 133],,0.0,,0.04,,0.55,,0.08,,0.18,,0.04,
0.02,,[222  89 125 125],,0.0,,0.01,,0.91,,0.03,,0.01,,0.01,
0.01,,[222  88 129 129],,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.0,,[224  91 125 125],,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,[226  90 124 124],,0.0,,0.0,,0.97,,0.01,,0.0,,0.01,
0.01,,[225  89 126 126],,0.0,,0.0,,0.98,,0.0,,0.0,,0.01,
0.14,,[224  86 129 129],,0.0,,0.04,,0.21,,0.33,,0.27,,0.01,
0.17,,[226  84 132 132],,0.0,,0.23,,0.01,,0.02,,0.49,,0.09,
0.13,,[229  86 134 134],,0.0,,0.21,,0.02,,0.1,,0.51,,0.02,
0.02,,[226  88 130 130],,0.0,,0.0,,0.96,,0.0,,0.01,,0.01,
0.0,,[225  88 127 127],,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.0,,[229  90 125 125],,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,[225  88 126 126],,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,[230  89 124 124],,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,[227  87 125 125],,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.08,,[223  83 130 130],,0.0,,0.01,,0.86,,0.0,,0.0,,0.04,
0.02,,[221  77 131 131],,0.0,,0.04,,0.82,,0.0,,0.02,,0.1,
0.0,,[210  73 127 127],,0.0,,0.01,,0.87,,0.0,,0.01,,0.1,
0.07,,[195  79 131 131],,0.0,,0.03,,0.18,,0.58,,0.09,,0.05,
0.07,,[196  80 131 131],,0.0,,0.03,,0.12,,0.63,,0.1,,0.06,
0.05,,[197  82 129 129],,0.0,,0.02,,0.62,,0.17,,0.05,,0.08,
0.02,,[196  80 133 133],,0.0,,0.01,,0.87,,0.02,,0.01,,0.08,
0.03,,[198  82 131 131],,0.0,,0.01,,0.8,,0.03,,0.01,,0.11,
0.07,,[198  83 131 131],,0.0,,0.03,,0.66,,0.1,,0.08,,0.06,
0.07,,[199  85 128 128],,0.0,,0.04,,0.56,,0.1,,0.14,,0.09,
0.12,,[201  85 129 129],,0.0,,0.19,,0.09,,0.29,,0.19,,0.12,
0.11,,[200  81 135 135],,0.0,,0.13,,0.01,,0.06,,0.41,,0.28,
0.04,,[201  85 138 138],,0.0,,0.1,,0.01,,0.48,,0.27,,0.09,
0.11,,[205  92 133 133],,0.0,,0.07,,0.0,,0.41,,0.37,,0.03,
0.07,,[202  91 134 134],,0.0,,0.19,,0.05,,0.19,,0.15,,0.36,
0.06,,[205  89 135 135],,0.0,,0.24,,0.01,,0.19,,0.32,,0.18,
0.05,,[208  91 131 131],,0.0,,0.08,,0.0,,0.46,,0.34,,0.07,
0.07,,[212  90 127 127],,0.0,,0.09,,0.01,,0.24,,0.4,,0.2,
0.24,,[208  87 135 135],,0.0,,0.08,,0.01,,0.19,,0.23,,0.24,
0.07,,[213  89 131 131],,0.0,,0.07,,0.0,,0.28,,0.54,,0.03,
